Timestamp,Barcode,Representation indicators from cover and summary,Language
10/6/2023 12:55:26,398.3 ADA,"Race/Ethnicity, Economic Welfare, korean","English, korean"
10/6/2023 13:00:32,30405010324098,"Animals, zaire",English
10/6/2023 13:02:05,30405011678278,"Animals, mexico",English
10/6/2023 13:03:19,30405010257942,"Race/Ethnicity, mexico",English
10/6/2023 13:05:52,30007110005493,"Mental Health, Animals",English
10/6/2023 13:07:22,30405001260327,"Race/Ethnicity, Animals, sudan",English
10/6/2023 13:08:50,30405012310640,"Animals, akamba, kenya, africa",English
10/6/2023 13:10:34,30405060028540,"Race/Ethnicity, Animals",English
10/6/2023 13:11:32,30405000908785,"Race/Ethnicity, Animals, masai",English
10/6/2023 13:13:04,30405040010394,"Religion, jewish, poland",English
10/6/2023 13:14:25,30405013015685,celtic,English
10/6/2023 13:15:25,30405001043871,Animals,English
10/6/2023 13:16:13,30405001646921,Animals,English
10/6/2023 13:17:12,30405012262726,Animals,English
10/6/2023 13:17:49,30007110002336,Animals,English
10/6/2023 13:18:44,30007090136093,Animals,English
10/6/2023 13:20:47,30405000847454,Animals,English
10/6/2023 13:21:39,30405000413588,Animals and/or mythical creatures,English
10/6/2023 13:22:34,30007110005364,,English
10/6/2023 13:23:33,30405040048766,,English
10/6/2023 13:24:51,30405012310798,Animals and/or mythical creatures,English
10/6/2023 13:25:25,30405020230079,Animals and/or mythical creatures,English
10/6/2023 13:26:12,30405012405390,,English
10/6/2023 13:27:09,30405020025339,Animals and/or mythical creatures,English
10/6/2023 13:29:05,30007060082491,"Animals and/or mythical creatures, indigenous, hopi",English
10/6/2023 13:29:47,30405012259656,,English
10/6/2023 13:32:03,30405020082025,Animals and/or mythical creatures,English
10/6/2023 13:32:38,30007060407375,Animals and/or mythical creatures,English
10/6/2023 13:33:19,30007110005677,Animals and/or mythical creatures,English
10/6/2023 13:34:43,30405012159096,"Economic Welfare, Animals and/or mythical creatures",English
10/6/2023 13:35:13,30007110002368,Animals and/or mythical creatures,English
10/6/2023 13:35:44,30405020183229,Animals and/or mythical creatures,English
10/6/2023 13:36:20,30405020040015,Animals and/or mythical creatures,English
10/6/2023 13:36:45,30405020018060,Animals and/or mythical creatures,English
10/6/2023 13:37:14,30007110005682,Animals and/or mythical creatures,English
10/6/2023 13:38:01,30405011565152,"Race/Ethnicity, Animals and/or mythical creatures, indigenous",English
10/6/2023 13:40:30,30007060574372,"Animals and/or mythical creatures, indigenous, iroquois",English
10/6/2023 13:41:39,3007060503868,"Race/Ethnicity, india",English
10/6/2023 13:42:23,30007060491791,"Race/Ethnicity, indigenous, cherokee",English
10/6/2023 13:43:31,30007110003439,"Animals and/or mythical creatures, africa, zambia",English
10/6/2023 13:43:55,30007060101416,"Animals and/or mythical creatures, africa, zambia",English
10/6/2023 13:45:29,30405020017559,"Race/Ethnicity, Animals and/or mythical creatures, Black",English
10/6/2023 13:47:09,3007060188389,"Race/Ethnicity, latin",English
10/6/2023 13:47:32,30007110004810,Animals and/or mythical creatures,English
10/6/2023 13:48:35,30007060246435,"Race/Ethnicity, Animals and/or mythical creatures, china",English
10/6/2023 13:49:20,30007110005499,,English
10/6/2023 13:50:42,30405011602740,soviet union,English
10/6/2023 13:51:20,30405012735739,Race/Ethnicity,English
10/6/2023 13:53:02,30405012456740,Animals and/or mythical creatures,English
10/6/2023 13:54:02,30007110002763,Race/Ethnicity,English
10/6/2023 13:54:35,30405012522962,Animals and/or mythical creatures,English
10/6/2023 13:55:52,30007060503850,"Race/Ethnicity, AAPI, cambodia",English
10/6/2023 13:56:43,30405012500489,"Race/Ethnicity, indigenous, cherokee",English
10/6/2023 13:57:26,30405012500422,"Race/Ethnicity, indigenous, cherokee",English
10/6/2023 13:57:59,30405012500463,"Race/Ethnicity, indigenous, eskimo",English
10/6/2023 13:58:47,30405012500448,"Race/Ethnicity, indigenous, algoquian",English
10/6/2023 13:59:31,30405012500406,"Race/Ethnicity, indigenous, navajo",English
10/6/2023 14:00:50,30007060420758,Race/Ethnicity,English
10/6/2023 14:01:49,30007110002984,"Race/Ethnicity, AAPI, China",English
10/6/2023 14:02:45,30405011685505,,English
10/6/2023 14:04:04,30007110006450,"Race/Ethnicity, Animals and/or mythical creatures, indigenous, salish, kootenai",English
10/6/2023 14:06:16,30405020019514,Animals and/or mythical creatures,English
10/6/2023 14:07:20,30405020091422,russia,English
10/6/2023 14:08:15,30405012551532,"Race/Ethnicity, AAPI, philippines",English
10/6/2023 14:08:38,30405012181611,Economic Welfare,English
10/6/2023 14:10:02,30007990000084,"Race/Ethnicity, multiculturalm",English
10/6/2023 14:11:22,30007060407466,,English
10/6/2023 14:12:47,30405000181268,"Race/Ethnicity, africa, nigeria",English
10/6/2023 14:13:26,30007060503843,"Race/Ethnicity, AAPI, philippines",English
10/6/2023 14:14:19,30405040035797,"Animals and/or mythical creatures, africa, liberia",English
10/6/2023 14:15:01,30007110005548,"latin america, cuba",English
10/6/2023 14:16:39,30405012727603,"Race/Ethnicity, latin america",English
10/6/2023 14:17:00,30405013050575,Animals and/or mythical creatures,English
10/6/2023 14:17:51,30405040058344,"Race/Ethnicity, AAPI, china",English
10/6/2023 14:18:49,30405012151598,"Race/Ethnicity, AAPI, china",English
10/6/2023 14:19:20,30007060082533,,English
10/6/2023 14:21:38,30007090138990,"Race/Ethnicity, AAPI, india",English
10/6/2023 14:22:44,30405012392754,,English
10/6/2023 14:23:22,30007060082384,"Race/Ethnicity, latin america, mexico",English
10/6/2023 14:24:49,30405020275975,,English
10/6/2023 14:25:15,30405000676549,,English
10/6/2023 14:26:01,30007110005438,,English
10/6/2023 14:27:16,30007110000048,"Race/Ethnicity, africa",English
10/6/2023 14:27:52,3007110000047,"Race/Ethnicity, africa",English
10/6/2023 14:29:58,30007060418380,"Race/Ethnicity, AAPI, bengal",English
10/6/2023 14:31:43,30405012516048,"Race/Ethnicity, indigenouns, navajo",English
10/6/2023 14:32:26,30007060283867,Mental Health,English
10/6/2023 14:32:59,30405012404724,Animals and/or mythical creatures,English
10/6/2023 14:33:45,30405012745456,,English
10/6/2023 14:34:18,30405010258429,"Race/Ethnicity, indigenous, ojibway",English
10/6/2023 14:35:01,30007060432274,,English
10/6/2023 14:38:07,30405020245580,,English
10/6/2023 14:41:02,30405012448507,"Race/Ethnicity, indigenous",English
10/6/2023 14:41:28,30405012448739,"Race/Ethnicity, indigenous",English
10/6/2023 14:42:38,30405010258700,,English
10/6/2023 14:43:15,30405010255185,,English
10/6/2023 14:43:58,30405020231440,,English
10/6/2023 14:45:09,30007060418604,"Race/Ethnicity, multicultural",English
10/6/2023 14:45:40,30405000696166,Animals and/or mythical creatures,English
10/6/2023 14:46:42,30405001016034,Animals and/or mythical creatures,English
10/6/2023 14:48:15,30405012721010,"Race/Ethnicity, Animals and/or mythical creatures, indigenous",English
