Title/Subtitle,Checkouts - Local Patrons,Checkouts - Visiting Patrons
1-2-3 peas,32,1
"1, 2, 3, sí! : a numbers book in English and Spanish",0,0
"1, 2, 3 y los colores de querido dragon",7,0
1 hunter,10,0
The $1.00 word riddle book,1,0
"1,001 facts about sharks",13,1
"1,001 facts about the human body",4,0
The 3 bears and Goldilocks,12,1
3-D pets : a book of virtual animals,1,2
3-dimensional earth,11,0
The 3 little dassies,16,0
5-minute Disney Pixar stories.,106,3
5 minute [Panchtantra ki kahaniyan],3,0
5-minute Pete the Cat stories,31,4
5-minute spooky stories.,77,0
5-minute Star Wars stories,19,0
Los 5 sentidos,0,0
5 steps to drawing crawlers and fliers,7,0
5 steps to drawing dinosaurs,2,0
5 steps to drawing dogs and cats,4,0
5 steps to drawing faces,5,0
The 6th grade nickname game,2,0
9 kilometers,0,1
9 of 1 : a window to the world,3,0
10 gulab jamuns : counting with an Indian sweet treat,10,2
10 inventors who changed the world,4,0
10 little fish = 10 pececitos,19,1
10-minute origami projects,13,0
10 things I can do to help my world : fun and easy eco-tips,6,0
11 birthdays,53,1
11 experiments that failed,78,3
The 12 biggest breakthroughs in robot technology,6,0
12 ways to get to 11,3,0
"12,000 words : a supplement to Webster's third new international dictionary.",0,0
The 13-story treehouse,2,0
13 treasures,56,1
The 13th clue,0,0
The 13th floor : a ghost story,2,0
14 cows for America,2,0
The 14 fibs of Gregory K.,16,0
14 vacas para América,1,0
The 15 best things about being the new kid,0,0
"16 escritores muy, muy importantes : libro para los que quieren conocer a algunos de los escritores más importantes del mundo",2,0
"16 mujeres muy, muy importantes",9,0
17 kings and 42 elephants,0,0
17 things I'm not allowed to do anymore,32,0
18 historias de princesas y de hadas,58,2
18th century clothing,2,0
"20,000 leagues under the sea",1,0
26 Fairmount Avenue,1,0
26 letters and 99 cents,10,3
39 Clues: One false note,63,0
39 clues: The maze of bones,136,0
42 miles,0,0
50 animals that have been to space,5,0
50 below zero,5,0
50 experimentos con microorganismos,0,0
50 experimentos de química,0,0
50 simple things kids can do to save the earth,0,0
55 experimentos de la naturaleza : las plantas y los animales saben de física!,0,0
The 65-story treehouse,3,0
97 ways to make a dog smile,9,0
100 cupboards,17,0
100 experimentos científicos,17,1
[100 kostei] : [neozhidannaia nakhodka],1,0
100% pure fake,12,0
100 things Star wars fans should know & do before they die,3,0
100 ways to celebrate 100 days,7,0
The 100th day of school,7,0
101 amazing optical illusions : fantastic visual tricks,11,0
101 animal babies,2,1
101 back-to-school jokes,16,0
