Barcode,Representation.indicators.from.cover.and.summary,intersectionality_score,Representation.indicators.from.cover.and.summary_no_animals,intersectionality_score_no_animals,Language,Call.Number,Author,Publication.Year,Subject,Title.Subtitle,Checkouts...Local.Patrons,Checkouts...Visiting.Patrons
30405010694474,Animals and/or mythical creatures,1,,0,English,398.8 MOT,,1965,Nursery rhymes.,Brian Wildsmith's Mother Goose : a collection of nursery rhymes.,0,0
30405000736798,Animals and/or mythical creatures,1,,0,English,398.2 THR,"Galdone, Paul.",1970,Folklore.,The three little pigs,0,0
30405001155998,,0,,0,English,398.2 GRI,"Grimm, Jacob, 1785-1863.",1980,Fairy tales.,Hansel and Gretel,0,0
30405001646921,Animals and/or mythical creatures,1,,0,English,398.2 AES,illustrated by Heidi Holder.,1981,Fables.,Aesop's fables,0,0
30405001199236,,0,,0,English,398.2 GRI,Brothers Grimm ; illustrated by Anthony Browne.,1981,Fairy tales.,Hansel and Gretel,0,0
30405011821084,,0,,0,English,398.8 MOT,illustrated by Blanche Fisher Wright,1983,Children's poetry.,The real Mother Goose,0,0
30405011821076,,0,,0,English,398.8 MOT,illustrated by Blanche Fisher Wright,1983,Children's poetry.,The real Mother Goose,0,0
30405011821068,,0,,0,English,398.8 MOT,illustrated by Blanche Fisher Wright,1983,Children's poetry.,The real Mother Goose,0,0
30007110002336,Animals and/or mythical creatures,1,,0,English,398.2 AES,selected and illustrated by Michael Hague.,1985,Aesop's fables -- Translations into English,Aesop's fables,0,0
30405012270190,Animals and/or mythical creatures,1,,0,English,398.8 GAL,"Galdone, Paul.",1986,Animals -- Poetry.,Over in the meadow : an old nursery counting rhyme,0,0
30405020016197,,0,,0,English,398.8 MAR,"Marzollo, Jean.",1986,Children's poetry.,The rebus treasury,0,0
30405012915182,Animals and/or mythical creatures,1,,0,English,398.2 STE,"Stevens, Janet.",1987,Fairy tales.,The three Billy Goats Gruff,0,0
30405020036856,Animals and/or mythical creatures,1,,0,English,398.2 MAR,"Marshall, James, 1942-",1989,Expanding:  Early,The three little pigs,0,0
30405020223298,,0,,0,English,398.2 MAR,"Marshall, James, 1942-",1990,Fairy tales.,Hansel and Gretel,0,0
30405012244898,,0,,0,English,398.2 MAR,"Marshall, James, 1942-",1990,Fairy tales.,Hansel and Gretel,0,0
30007060082566,,0,,0,English,398.22 KEL,"Kellogg, Steven.",1994,"Fink, Mike, 1770-1823? -- Legends.",Mike Fink : a tall tale,0,1
30405012723677,Animals and/or mythical creatures,1,,0,English,398.2 WIS,"Wisniewski, David.",1996,Accelerated Reader AR-ATOS,Golem,0,0
30007110002344,Animals and/or mythical creatures,1,,0,English,398.24 PIN,Jerry Pinkney.,2000,Fables.,Aesop's fables,0,0
30007110002340,Animals and/or mythical creatures,1,,0,English,398.2 SNE,"Sneed, Brad.",2003,Aesop's fables -- Adaptations,Aesop's fables,0,0
30007110002343,Animals and/or mythical creatures,1,,0,English,398.24 WOR,"Wormell, Christopher.",2004,Aesop's fables -- Adaptations,"Mice, morals & monkey business : lively lessons from Aesop's fables",0,0
30007110001877,,0,,0,English,398.2 MIL,"Mills, Lauren A.",2005,Fairy tales.,Thumbelina,0,0
30007060181442,,0,,0,English,398.2 PRA,"Prap, Lila, 1955-",2006,Fairy tales.,Once upon-- 1001 stories,0,0
30007110005402,Animals and/or mythical creatures,1,,0,English,398.2 MAC,"MacDonald, Margaret Read, 1940-",2007,Dogs -- Folklore.,"The great smelly, slobbery, small-tooth dog : a folktale from Great Britain",0,0
